,Players,Agents Played,Rounds Played,Rating,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot %,Clutch Success %,Maximum Kills in a single map,Kills,Deaths,Assists,First Kills,First Deaths,Cluthes Won,Clutches Played
75,Yuicaw FPX,Killjoy Chamber Jett,59,0.97,189.7,1.05,0.66,131.7,0.71,0.12,0.05,0.2,0.22,0.14,20,42,40,7,3,12,1,7
76,Jinggg PRX,Raze Sage,38,0.97,204.0,0.93,0.68,156.9,0.71,0.21,0.03,0.08,0.2,,16,27,29,8,1,3,0,5
77,hoody GIA,Killjoy,97,0.96,189.0,0.94,0.72,135.4,0.63,0.16,0.06,0.08,0.23,0.2,17,61,65,16,6,8,2,10
78,QutionerX BBL,Yoru Jett,60,0.95,241.3,0.98,0.63,149.1,0.85,0.12,0.18,0.2,0.3,,23,51,52,7,11,12,0,5
79,MrFaliN FUT,Omen Killjoy Sova,107,0.95,200.6,0.82,0.7,124.4,0.64,0.4,0.11,0.15,0.17,0.17,16,69,84,43,12,16,2,12
80,AtaKaptan FUT,Sage Astra Breach,107,0.95,162.4,0.9,0.75,103.9,0.6,0.33,0.05,0.09,0.31,0.25,20,64,71,35,5,10,3,12
81,sheydos KOI,Killjoy,46,0.95,158.0,1.13,0.7,106.9,0.59,0.13,0.04,0.09,0.24,0.17,17,27,24,6,2,4,1,6
82,Victor NRG,Kayo Killjoy Skye,184,0.95,182.8,0.84,0.74,112.7,0.59,0.39,0.11,0.09,0.21,0.19,16,108,128,72,20,17,3,16
83,Crws TLN,Omen Brimstone Viper,157,0.94,188.0,0.83,0.71,124.6,0.61,0.41,0.11,0.09,0.23,0.17,21,96,115,65,17,14,2,12
84,Zest DRX,Sova Fade Killjoy,276,0.94,170.8,0.95,0.72,113.9,0.62,0.26,0.04,0.09,0.28,0.18,19,170,179,71,10,24,6,34
85,ScreaM KC,Skye Kayo,103,0.93,190.0,0.92,0.67,120.5,0.67,0.33,0.06,0.15,0.36,0.08,20,69,75,34,6,15,1,12
86,Mazin FUR,Skye Harbor Kayo,76,0.93,168.0,0.86,0.71,98.9,0.58,0.39,0.07,0.07,0.35,0.2,17,44,51,30,5,5,1,5
87,Meteor GEN,Jett Raze,48,0.93,239.0,1.05,0.69,153.9,0.81,0.21,0.21,0.1,0.26,,24,39,37,10,10,5,0,3
88,rhyme GIA,Astra Viper Omen,97,0.93,163.0,0.84,0.72,112.4,0.59,0.44,0.06,0.16,0.34,0.33,17,57,68,43,6,16,4,12
89,Derrek 100T,Sova Fade Breach,175,0.92,185.8,0.85,0.72,135.3,0.64,0.34,0.07,0.06,0.31,0.07,20,112,131,59,12,11,2,27
90,jzz MIBR,Fade Breach,45,0.92,194.0,0.89,0.67,118.6,0.71,0.31,0.07,0.04,0.28,,23,32,36,14,3,2,0,7
91,FNS NRG,Killjoy Breach Viper,184,0.92,182.9,0.85,0.74,120.8,0.6,0.35,0.1,0.08,0.17,0.1,23,111,131,64,19,14,2,21
92,nobody EDG,Sova Breach Kayo,71,0.92,197.0,0.94,0.75,123.8,0.66,0.38,0.1,0.07,0.25,0.14,17,47,50,27,7,5,1,7
93,nzr LEV,Sova Skye Fade,125,0.92,144.5,0.78,0.73,98.2,0.49,0.31,0.06,0.03,0.2,,12,61,78,39,7,4,0,16
94,JitBoyS TLN,Breach Kayo Harbor,157,0.92,186.7,0.93,0.72,116.4,0.68,0.36,0.06,0.09,0.33,0.07,24,106,114,56,10,14,1,15
95,Newzera KC,Sova Breach Harbor,103,0.92,139.2,0.83,0.73,93.0,0.51,0.28,0.06,0.09,0.43,0.38,16,53,64,29,6,9,5,13
96,Jamppi TL,Jett Raze,41,0.91,245.5,0.97,0.71,148.0,0.78,0.24,0.17,0.15,0.14,0.5,17,32,33,10,7,6,1,2
97,saadhak LOUD,Killjoy Raze Viper,380,0.9,192.2,0.82,0.72,130.2,0.61,0.28,0.11,0.19,0.21,0.25,19,230,279,105,42,71,5,20
98,BORKUM TS,Viper Brimstone Harbor,79,0.89,175.5,0.67,0.62,109.2,0.53,0.54,0.05,0.11,0.21,0.25,14,42,63,43,4,9,2,8
99,fl1pzjder RRQ,Breach Viper,40,0.89,178.0,0.79,0.73,126.5,0.58,0.45,0.18,0.23,0.2,0.14,19,23,29,18,7,9,1,7
100,t3xture GES,Raze Jett,58,0.89,206.7,1.02,0.71,132.5,0.79,0.07,0.14,0.12,0.24,,23,46,45,4,8,7,0,8
101,xand KRÜ,Kayo Neon,41,0.89,179.0,0.74,0.66,120.6,0.61,0.37,0.15,0.17,0.33,,18,25,34,15,6,7,0,2
102,xms KC,Killjoy Cypher,103,0.89,157.8,0.81,0.67,108.4,0.54,0.24,0.08,0.05,0.28,,17,56,69,25,8,5,0,11
103,Khalil FUR,Astra Killjoy Omen,76,0.88,147.7,0.84,0.71,92.1,0.54,0.25,0.07,0.04,0.3,0.08,21,41,49,19,5,3,1,13
104,SugarZ3ro ZETA,Omen Astra,41,0.88,178.0,0.8,0.73,122.2,0.59,0.39,0.02,0.05,0.34,0.33,17,24,30,16,1,2,2,6
105,Quick FUR,Cypher Viper Killjoy,76,0.88,190.7,0.87,0.64,124.3,0.63,0.24,0.11,0.12,0.32,0.22,19,48,55,18,8,9,2,9
106,Laz ZETA,Killjoy,41,0.87,171.5,0.92,0.71,131.1,0.59,0.15,0.05,0.02,0.29,,18,24,26,6,2,1,0,6
107,xffero RRQ,Omen Fade,40,0.86,182.5,0.93,0.75,113.7,0.65,0.25,0.03,0.03,0.26,,16,26,28,10,1,1,0,8
108,AAAAY FPX,Skye,59,0.86,202.0,0.8,0.75,128.8,0.66,0.34,0.02,0.1,0.31,,16,39,49,20,1,6,0,5
109,Redgar TL,Sova Breach,41,0.86,205.5,0.78,0.68,132.9,0.61,0.32,0.17,0.17,0.29,,20,25,32,13,7,7,0,4
110,Haodong EDG,Viper Omen Astra,71,0.86,163.0,0.73,0.66,113.1,0.52,0.34,0.08,0.07,0.26,,17,37,51,24,6,5,0,7
111,Lmemore RRQ,Cypher Sage,40,0.85,203.0,0.87,0.6,131.4,0.68,0.3,0.13,0.08,0.34,,15,27,31,12,5,3,0,2
112,Brave BBL,Astra Omen,60,0.85,206.3,0.84,0.73,132.5,0.68,0.43,0.13,0.1,0.29,0.17,17,41,49,26,8,6,1,6
113,pANcada SEN,Omen Viper,39,0.85,198.5,0.93,0.69,135.2,0.72,0.21,0.03,0.05,0.4,,17,28,30,8,1,2,0,7
114,Jremy TS,Sage Raze Kayo,79,0.85,163.0,0.78,0.66,97.0,0.59,0.3,0.13,0.1,0.15,0.29,19,47,60,24,10,8,2,7
115,RgLMeister MIBR,Omen Brimstone,45,0.84,174.5,0.72,0.71,110.6,0.51,0.62,0.04,0.07,0.18,0.5,12,23,32,28,2,3,2,4
116,SouhcNi BBL,Sova,60,0.84,154.3,0.77,0.67,102.1,0.55,0.28,0.05,0.12,0.29,,13,33,43,17,3,7,0,7
117,Smoggy EDG,Harbor Raze Fade,71,0.84,173.3,0.83,0.69,114.1,0.62,0.15,0.07,0.06,0.31,0.14,16,44,53,11,5,4,2,14
118,eKo GEN,Skye Neon,48,0.84,158.0,0.69,0.69,105.8,0.5,0.44,0.1,0.15,0.15,,12,24,35,21,5,7,0,5
119,DaveeyS KRÜ,Killjoy Raze,41,0.84,183.5,0.82,0.63,135.6,0.66,0.12,0.12,0.07,0.26,0.5,19,27,33,5,5,3,2,4
120,nizhaoTZH FPX,Omen Astra,59,0.83,162.3,0.83,0.63,89.4,0.59,0.27,0.07,0.08,0.23,0.18,14,35,42,16,4,5,2,11
121,Sayaplayer T1,Jett,20,0.83,196.0,0.82,0.7,136.6,0.7,0.0,0.25,0.25,0.5,,14,14,17,0,5,5,0,1
122,Dep ZETA,Jett,41,0.83,178.5,0.87,0.59,113.5,0.63,0.1,0.1,0.24,0.34,,15,26,30,4,4,10,0,3
123,Turko BBL,Breach Kayo,60,0.82,128.7,0.73,0.7,94.8,0.5,0.3,0.03,0.08,0.31,0.08,20,30,41,18,2,5,1,12
124,AYRIN GES,Viper Killjoy,58,0.82,184.0,0.8,0.57,112.8,0.62,0.12,0.07,0.07,0.21,0.21,15,36,45,7,4,4,3,14
125,BONECOLD VIT,Sage Fade Breach,104,0.81,151.2,0.68,0.72,103.3,0.5,0.38,0.07,0.14,0.25,,15,52,77,39,7,15,0,5
126,Secret GEN,Kayo Breach,48,0.81,146.0,0.68,0.73,81.3,0.52,0.46,0.0,0.1,0.13,,13,25,37,22,0,5,0,4
127,Sayf TL,Killjoy Kayo,41,0.79,172.5,0.84,0.63,115.2,0.63,0.22,0.07,0.02,0.26,,18,26,31,9,3,1,0,6
128,EJAY RRQ,Neon,16,0.79,189.0,0.71,0.69,127.8,0.63,0.19,0.0,0.38,0.25,,10,10,14,3,0,6,0,1
129,Reita DFM,Sova,37,0.79,207.5,0.83,0.57,137.3,0.68,0.22,0.08,0.22,0.44,,15,25,30,8,3,8,0,5
130,Bazzi GES,Skye Fade Breach,58,0.78,168.7,0.64,0.74,102.8,0.52,0.4,0.05,0.03,0.16,,11,30,47,23,3,2,0,7
131,Munchkin T1,Astra,20,0.78,157.0,0.73,0.55,100.6,0.55,0.45,0.0,0.25,0.18,,11,11,15,9,0,5,0,2
132,berLIN FPX,Fade,59,0.78,182.0,0.72,0.76,122.8,0.58,0.39,0.12,0.19,0.28,0.33,17,34,47,23,7,11,1,3
133,Boo TH,Cypher Sova,42,0.77,125.0,0.66,0.71,90.2,0.45,0.21,0.0,0.12,0.24,0.1,11,19,29,9,0,5,1,10
134,AsLanM4shadoW BBL,Killjoy,60,0.77,149.0,0.75,0.63,107.4,0.55,0.13,0.03,0.07,0.23,0.1,15,33,44,8,2,4,1,10
135,axeddy KRÜ,Sova Breach,41,0.77,164.0,0.66,0.61,103.9,0.51,0.37,0.05,0.1,0.21,0.14,12,21,32,15,2,4,1,7
136,Carpe T1,Sova,20,0.77,172.0,0.71,0.6,115.4,0.6,0.2,0.0,0.0,0.28,,12,12,17,4,0,0,0,2
